ticker,n_months,alpha,beta,r_squared,beta_risk_label
A,155,-0.001073973360031586,1.1343669329905068,0.4673306627722892,Moderate Beta
ABBV,155,0.008945295352203996,0.689330900168968,0.1645771396597907,Low Beta
ABT,155,0.0016580785924961796,0.799330471480515,0.3595336654960253,Low Beta
ALGN,155,-0.0008798088562647511,1.713129695743996,0.3245265934022996,High Beta
AMGN,155,0.004993959673791264,0.6410079920238393,0.16097935192588264,Low Beta
BIIB,155,-0.00023161715060452965,0.34539353873186707,0.025617853144414227,Low Beta
BMY,155,0.0007024085745715614,0.5197276769934981,0.10187515076095088,Low Beta
CI,155,0.006399713869143849,0.5369597474875549,0.08859624854432502,Low Beta
CVS,155,-0.0006739198972784146,0.6686257415583058,0.13900778262231117,Low Beta
DHR,155,0.006372714508492116,0.8669106635839323,0.23025481112104096,Moderate Beta
DXCM,155,0.01531008286195498,1.0468045818872742,0.10125543382363367,Moderate Beta
EW,155,0.0042550098749534575,0.8759530675073894,0.1856263641393644,Moderate Beta
GILD,155,0.0057981855312771325,0.4679015054648623,0.0774094184208397,Low Beta
HCA,155,0.0056817323110308375,1.2679592157764725,0.36787438626442925,High Beta
HUM,155,0.0034130972478993256,0.6805187158868715,0.11822669499819694,Low Beta
IDXX,155,0.007503934185974811,1.1266971684993239,0.3019011281572864,Moderate Beta
ILMN,155,-0.0009514034932620093,1.1804284275576011,0.1816314612355302,Moderate Beta
ISRG,155,0.0042230979773816655,1.1195880821587876,0.3237301804468302,Moderate Beta
JNJ,155,0.0030180326150288385,0.526818425378491,0.2397439958198172,Low Beta
LLY,155,0.019362231009799676,0.29195086606566467,0.02878572470273666,Low Beta
MDT,155,-0.0010145239826753584,0.7424559720881077,0.2987762036715159,Low Beta
MRK,155,0.004986466925650462,0.3634937614092246,0.07559897094042378,Low Beta
MRNA,84,0.009641909223551088,1.584819380099642,0.10876646504723364,High Beta
PFE,155,-0.00279690864605923,0.5895579131158702,0.1685438515795662,Low Beta
REGN,155,0.007752836700868996,0.4697341692652786,0.043096215326452914,Low Beta
SYK,155,0.003386578094246486,0.8410448644122077,0.39528795284678353,Moderate Beta
TMO,155,0.005309635571333207,0.8490688461470371,0.31855033478985717,Moderate Beta
UNH,155,0.007891612390019967,0.575990131839214,0.12085750568992082,Low Beta
VRTX,155,0.011052937423178562,0.619423087813187,0.08304571966998575,Low Beta
ZTS,154,0.0012969420164227266,0.8001605256091627,0.28991126873276263,Moderate Beta
